id,address
15210,"410022, Саратовская область, г. Саратов, улица Азина, дом 28 ""б"""
15226,"410005, Россия, Саратовская область, г. Саратов, ул. Железнодорожная, д. 61/69"
15280,"410001, Россия, Саратовская область, г. Саратов, ул. Пролетарская, д. 8"
15301,", Российская Федерация, Саратовская область, г. Саратов, Санаторный проезд, д. 2"
15858,"410600, Россия, Саратовская область, г. Саратов, ул. Октябрьская, д. 94"
16264,"410028, Россия, Саратовская область, г. Саратов, ул. Советская, д. 6/8"
16917,"410600, Россия, Саратовская область, Саратов, ул. Максима Горького, д.28, кв. 1"
16955,"410033, Российская Федерация, Саратовская область, г. Саратов, ул. Гвардейская, д. 15"
16962,"410041, Саратовская область, г. Саратов, ул. 4 Прокатная, д.13"
16965,"410035, Саратовская область, г. Саратов, ул. им. Бардина И.П., дом 8"
17335,"410049, Российская Федерация, Саратовская область, г. Саратов, ул. Кавказская, дом 2 А"
17345,"410080, Россия, Саратовская область, г. Саратов, Проспект Строителей, д. 25"
17369,"410600, Российская Федерация, Саратовская область, г. Саратов, ул. Советская, д. 31"
17440,"410002, Российская Федерация, Саратовская область, г. Саратов, улица Волжская, д. 2/10"
17443,"410028, Российская Федерация, Саратовская область, г. Саратов, ул. Советская, д. 6/8"
17522,"410039, Российская Федерация, Саратовская область, г. Саратов, ул. проспект Энтузиастов, дом № 43"
17576,"443087, Россия, Самарская область, Саратов, ул. Шелковичная, д. № 29/35, комната № 5"
17701,"410009, Российская Федерация, Саратовская область, г. Саратов, ул. Наумовская, д. 21/29"
17754,"410005, Российская Федерация, Саратовская область, г. Саратов, улица Большая Горная, д. № 277/279"
17825,"410039, Российская Федерация, Саратовская область, г. Саратов, проспект Энтузиастов, дом 57"
18134,"410008, Российская Федерация, Саратовская область, г. Саратов, ул. Ново-Астраханская, д. 1"
18150,"410053, Россия, Саратовская область, г. Саратов, ул. Клочкова, 81"
18165,"410048, Российская Федерация, Саратовская область, г. Саратов, ул. Тульская, б/н"
18170,"410005, Россия, Саратовская область, г. Саратов, ул. Соколовая, 316"
18174,"410012, Россия, Саратовская область, г. Саратов, ул. им. Некрасова Н.А., д. 49 ""А"""
18333,"410049, Российская Федерация, Саратовская область, г. Саратов, ул. Пензенская, дом 7/2"
18877,"410054, Россия, Саратовская область, г. Саратов, ул. Политехническая, 77"
18883,"410076, Российская Федерация, Саратовская область, г. Саратов, улица им. Н.Г. Чернышевского, дом 55"
19257,"410060, Российская Федерация, Саратовская область, г. Саратов, ул. Миллеровская, д. 71-А"
19383,"410049, Российская Федерация, Саратовская область, г. Саратов, пр-кт. Энтузиастов, д. 33"
19481,"410071, Россия, Саратовская область, г. Саратов, ул. Шелковичная, д. 122/126"
19742,"410017, Россия, Саратовская область, г. Саратов, Весенний проезд, дом 13/19, кв. 75"
19753,"410056, Россия, Саратовская область, г. Саратов, ул. Вольская, 29"
19762,"410039, Россия, Саратовская область, г. Саратов, ул. Крымская, д. 15"
19775,"410040, Российская Федерация, Саратовская область, г. Саратов, Деловой тупик, д.5"
